stratum_id,event_id,event_anomaly_c,control_mean_anomaly_c,event_minus_control_c,continent
HRF-0063,HRF-0063,-13.561999999999998,-7.6953333333333305,-5.866666666666667,Europe
HRF-0064,HRF-0064,-7.531000000000002,-7.301000000000003,-0.22999999999999954,Oceania
HRF-0065,HRF-0065,-14.591000000000005,-5.634333333333337,-8.956666666666667,North America
HRF-0066,HRF-0066,-0.9130000000000004,-3.089666666666666,2.176666666666666,Asia
HRF-0067,HRF-0067,-2.6499999999999986,-0.6724999999999984,-1.9775,Asia
HRF-0068,HRF-0068,-0.0299999999999975,-5.9049999999999985,5.875000000000001,Europe
HRF-0069,HRF-0069,0.0899999999999998,-1.0074999999999994,1.0974999999999993,Africa
HRF-0070,HRF-0070,-2.530999999999999,-4.891,2.360000000000001,Asia
HRF-0071,HRF-0071,-4.272000000000006,-7.692000000000003,3.4199999999999973,North America
HRF-0072,HRF-0072,-0.6210000000000022,-1.3559999999999999,0.7349999999999977,Asia
HRF-0073,HRF-0073,-11.686000000000003,-5.369333333333337,-6.316666666666666,North America
HRF-0074,HRF-0074,-1.6300000000000026,-1.6600000000000001,0.029999999999997584,Africa
HRF-0075,HRF-0075,-1.4420000000000002,-2.4494999999999996,1.0074999999999994,Asia
HRF-0076,HRF-0076,-4.081,-4.137666666666666,0.056666666666665755,Europe
HRF-0077,HRF-0077,-4.340999999999999,-4.934333333333333,0.5933333333333337,Europe
HRF-0078,HRF-0078,-1.5020000000000024,-4.355333333333333,2.853333333333331,Asia
HRF-0079,HRF-0079,-8.077000000000002,-6.657000000000003,-1.419999999999999,Asia
HRF-0080,HRF-0080,-7.2719999999999985,-4.879499999999998,-2.3925,Europe
HRF-0081,HRF-0081,-1.2520000000000024,-3.5320000000000036,2.280000000000001,Asia
HRF-0082,HRF-0082,-7.239000000000001,-2.135666666666669,-5.103333333333332,Europe
HRF-0083,HRF-0083,-2.7310000000000016,-2.2235000000000005,-0.5075000000000012,Asia
HRF-0084,HRF-0084,-0.2729999999999997,-1.8179999999999987,1.544999999999999,Asia
HRF-0085,HRF-0085,-3.722000000000001,-0.7486666666666663,-2.9733333333333345,Asia
HRF-0086,HRF-0086,-4.350999999999999,-4.250999999999999,-0.10000000000000053,Asia
HRF-0087,HRF-0087,-2.8260000000000005,-2.9785000000000013,0.15250000000000075,Asia
HRF-0088,HRF-0088,-2.280999999999999,-0.7509999999999976,-1.5300000000000011,Asia
HRF-0089,HRF-0089,-0.0929999999999999,-2.0663333333333314,1.9733333333333314,Europe
HRF-0090,HRF-0090,0.2100000000000008,-0.28333333333333144,0.49333333333333224,North America
HRF-0091,HRF-0091,-4.279999999999998,-2.737499999999998,-1.5424999999999995,Asia
HRF-0092,HRF-0092,-2.0500000000000043,-2.2533333333333374,0.20333333333333314,Asia
HRF-0093,HRF-0093,-2.801,-4.7785,1.9775,Europe
HRF-0094,HRF-0094,-8.812000000000005,-7.452000000000005,-1.3599999999999994,Asia
HRF-0095,HRF-0095,-10.794000000000004,-4.327333333333338,-6.466666666666666,North America
HRF-0096,HRF-0096,-0.6000000000000014,0.6333333333333316,-1.233333333333333,Asia
HRF-0097,HRF-0097,-13.374000000000002,-2.047333333333335,-11.326666666666668,North America
